# Mid-cap rating-rationale registry (batch 1+). Amount-weighted PSB share from
# CRISIL "Details of Bank Lenders & Facilities" annexures. Amount in Rs crore.
# PSB (amount) = sum(facility amt at PSB banks) / sum(all named-bank facility amt).
FACILITY|SARDAEN|Union Bank of India|Letter of Credit|157.7
FACILITY|SARDAEN|Bank of Baroda|Letter of Credit|104.55
FACILITY|SARDAEN|Axis Bank Limited|Term Loan|16.75
FACILITY|SARDAEN|Axis Bank Limited|Term Loan|238.79
FACILITY|SARDAEN|HDFC Bank Limited|Term Loan|633.08
FACILITY|SARDAEN|Axis Bank Limited|Term Loan|436.21
FACILITY|SARDAEN|HDFC Bank Limited|Term Loan|66.92
BANKNAMES|SARDAEN|yes
SOURCE|RATNAMANI|CRISIL|2025-06-11|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/RatnamaniMetalsandTubesLimited_June%2011_%202025_RR_367310.html
FACILITY|RATNAMANI|IDBI Bank Limited|Cash Credit|10
FACILITY|RATNAMANI|Axis Bank Limited|Cash Credit|26
FACILITY|RATNAMANI|ICICI Bank Limited|Cash Credit|53
FACILITY|RATNAMANI|YES Bank Limited|Cash Credit|150
FACILITY|RATNAMANI|HDFC Bank Limited|Cash Credit|60
FACILITY|RATNAMANI|Citibank N.A.|LC and BG|213
FACILITY|RATNAMANI|HDFC Bank Limited|LC and BG|240
FACILITY|RATNAMANI|IDBI Bank Limited|LC and BG|125
FACILITY|RATNAMANI|Kotak Mahindra Bank Limited|LC and BG|50
FACILITY|RATNAMANI|IndusInd Bank Limited|LC and BG|100
FACILITY|RATNAMANI|Axis Bank Limited|LC and BG|474
FACILITY|RATNAMANI|ICICI Bank Limited|LC and BG|498
FACILITY|RATNAMANI|YES Bank Limited|LC and BG|201
BANKNAMES|RATNAMANI|yes
SOURCE|APLAPOLLO|CRISIL|2025-09-30|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/APLApolloTubesLimited_September%2030_%202025_RR_376365.html
FACILITY|APLAPOLLO|State Bank of India|Cash Credit|76
FACILITY|APLAPOLLO|Union Bank of India|Cash Credit|250
FACILITY|APLAPOLLO|State Bank of India|Letter of Credit|109
FACILITY|APLAPOLLO|YES Bank Limited|Non-Fund Based|200
FACILITY|APLAPOLLO|The South Indian Bank Limited|Vendor Financing|30
FACILITY|APLAPOLLO|Axis Bank Limited|Working Capital Demand Loan|170
FACILITY|APLAPOLLO|HDFC Bank Limited|Working Capital|125
FACILITY|APLAPOLLO|Bank of Baroda|Working Capital|35
FACILITY|APLAPOLLO|YES Bank Limited|Working Capital|100
FACILITY|APLAPOLLO|The Hongkong and Shanghai Banking Corporation Limited|Working Capital|175
BANKNAMES|APLAPOLLO|yes
SOURCE|NCLIND|CRISIL|2023-07-04|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/NCLIndustriesLimited_July%2004,%202023_RR_319466.html
FACILITY|NCLIND|HDFC Bank Limited|Cash Credit|25
FACILITY|NCLIND|Kotak Mahindra Bank Limited|Cash Credit|20
FACILITY|NCLIND|Axis Bank Limited|Cash Credit|50
FACILITY|NCLIND|State Bank of India|Cash Credit|20
FACILITY|NCLIND|Bank of Baroda|Cash Credit|65
FACILITY|NCLIND|Bank of Baroda|LC and BG|10
FACILITY|NCLIND|State Bank of India|LC and BG|25
FACILITY|NCLIND|Axis Bank Limited|LC and BG|10
FACILITY|NCLIND|HDFC Bank Limited|Term Loan|9.7
FACILITY|NCLIND|Axis Bank Limited|Term Loan|31.7
FACILITY|NCLIND|HDFC Bank Limited|Term Loan|15.2
FACILITY|NCLIND|Axis Bank Limited|Term Loan|10.6
FACILITY|NCLIND|Axis Bank Limited|Term Loan|54.4
FACILITY|NCLIND|Axis Bank Limited|Term Loan|30.9
FACILITY|NCLIND|Kotak Mahindra Bank Limited|Term Loan|75
BANKNAMES|NCLIND|yes
SOURCE|CHAMBLFERT|CRISIL|2025-04-24|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/ChambalFertilisersandChemicalsLimited_April%2024_%202025_RR_367438.html
FACILITY|CHAMBLFERT|The Federal Bank Limited|Cash Credit|600
FACILITY|CHAMBLFERT|ICICI Bank Limited|Cash Credit|300
FACILITY|CHAMBLFERT|Axis Bank Limited|Cash Credit|500
FACILITY|CHAMBLFERT|HDFC Bank Limited|Cash Credit|600
FACILITY|CHAMBLFERT|State Bank of India|Cash Credit|1000
FACILITY|CHAMBLFERT|Bank of Baroda|Cash Credit|1000
FACILITY|CHAMBLFERT|State Bank of India|LC and BG|500
FACILITY|CHAMBLFERT|Bank of Baroda|LC and BG|500
FACILITY|CHAMBLFERT|HDFC Bank Limited|LC and BG|300
FACILITY|CHAMBLFERT|Axis Bank Limited|LC and BG|400
FACILITY|CHAMBLFERT|The Federal Bank Limited|LC and BG|300
FACILITY|CHAMBLFERT|HDFC Bank Limited|Non-Fund Based|600
FACILITY|CHAMBLFERT|State Bank of India|Non-Fund Based|70
FACILITY|CHAMBLFERT|State Bank of India|Non-Fund Based|1800
FACILITY|CHAMBLFERT|The Federal Bank Limited|Non-Fund Based|250
BANKNAMES|CHAMBLFERT|yes
SOURCE|DEEPAKFERT|CRISIL|2025-09-26|https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/DeepakFertilisersAndPetrochemicalsCorporationLimited_September%2026_%202025_RR_377536.html
FACILITY|DEEPAKFERT|Axis Bank Limited|Fund-Based|10
FACILITY|DEEPAKFERT|HDFC Bank Limited|Fund-Based|50
FACILITY|DEEPAKFERT|Kotak Mahindra Bank Limited|Fund-Based|5
FACILITY|DEEPAKFERT|Bank of Baroda|Fund-Based|25
FACILITY|DEEPAKFERT|State Bank of India|Fund-Based|55
FACILITY|DEEPAKFERT|IDBI Bank Limited|Fund-Based|5
FACILITY|DEEPAKFERT|HDFC Bank Limited|Non-Fund Based|150
FACILITY|DEEPAKFERT|Kotak Mahindra Bank Limited|Non-Fund Based|45
FACILITY|DEEPAKFERT|Standard Chartered Bank|Non-Fund Based|50
FACILITY|DEEPAKFERT|IDBI Bank Limited|Non-Fund Based|195
FACILITY|DEEPAKFERT|State Bank of India|Non-Fund Based|195
FACILITY|DEEPAKFERT|Axis Bank Limited|Non-Fund Based|90
FACILITY|DEEPAKFERT|Bank of Baroda|Non-Fund Based|250
FACILITY|DEEPAKFERT|State Bank of India|Term Loan|500
FACILITY|DEEPAKFERT|Exim Bank|Term Loan|200
FACILITY|DEEPAKFERT|State Bank of India|Term Loan|100.51
FACILITY|DEEPAKFERT|Exim Bank|Term Loan|124.38
FACILITY|DEEPAKFERT|Bank of Baroda|Term Loan|104.5
BANKNAMES|DEEPAKFERT|yes
SOURCE|SESHAPAPER|CRISIL|2025-04-09|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/SeshasayeePaperandBoardsLimited_April%2009_%202025_RR_361525.html
FACILITY|SESHAPAPER|State Bank of India|Cash Credit|108
FACILITY|SESHAPAPER|Kotak Mahindra Bank Limited|Cash Credit|40
FACILITY|SESHAPAPER|HDFC Bank Limited|Cash Credit|50
FACILITY|SESHAPAPER|State Bank of India|Cash Credit|42
FACILITY|SESHAPAPER|State Bank of India|Letter of Credit|25
FACILITY|SESHAPAPER|State Bank of India|Letter of Credit|25
BANKNAMES|SESHAPAPER|yes
SOURCE|MUKANDLTD|CRISIL|2024-08-16|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/MukandLimited_August%2016_%202024_RR_346252.html
FACILITY|MUKANDLTD|Citi Bank|Bank Guarantee|184.9
FACILITY|MUKANDLTD|Citi Bank|Cash Credit|0.1
FACILITY|MUKANDLTD|Citi Bank|Term Loan|200
FACILITY|MUKANDLTD|Citi Bank|Working Capital Term Loan|1200
BANKNAMES|MUKANDLTD|yes
SOURCE|WELCORP|CRISIL|2024-02-13|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/WelspunCorpLimited_February%2013,%202024_RR_329599.html
FACILITY|WELCORP|Bank of Baroda|Bank Guarantee|225
FACILITY|WELCORP|State Bank of India|Bank Guarantee|104
FACILITY|WELCORP|State Bank of India|Cash Credit|20
FACILITY|WELCORP|Axis Bank Limited|Cash Credit|20
FACILITY|WELCORP|ICICI Bank Limited|Cash Credit|50
FACILITY|WELCORP|HDFC Bank Limited|Cash Credit and WCDL|200
FACILITY|WELCORP|Axis Bank Limited|Letter of Credit|380
FACILITY|WELCORP|Bank of Baroda|Letter of Credit|350
FACILITY|WELCORP|IDFC FIRST Bank Limited|Letter of Credit|340
FACILITY|WELCORP|YES Bank Limited|Letter of Credit|450
FACILITY|WELCORP|State Bank of India|Letter of Credit|600
FACILITY|WELCORP|Bank of India|Letter of Credit|300
FACILITY|WELCORP|ICICI Bank Limited|Letter of Credit|350
FACILITY|WELCORP|IDBI Bank Limited|Letter of Credit|420
BANKNAMES|WELCORP|yes
SOURCE|DBL|CRISIL|2024-04-19|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/DilipBuildconLimited_April%2019_%202024_RR_341064.html
FACILITY|DBL|Bank of Maharashtra|Cash Credit|45
FACILITY|DBL|Indian Overseas Bank|Cash Credit|78.3
FACILITY|DBL|Bank of India|Cash Credit|110
FACILITY|DBL|Indian Bank|Cash Credit|95
FACILITY|DBL|Union Bank of India|Cash Credit|146
FACILITY|DBL|IDBI Bank Limited|Cash Credit|200
FACILITY|DBL|Bank of Baroda|Cash Credit|425
FACILITY|DBL|The Karnataka Bank Limited|Cash Credit|44
FACILITY|DBL|Canara Bank|Cash Credit|325
FACILITY|DBL|Punjab and Sind Bank|Cash Credit|25
FACILITY|DBL|UCO Bank|Cash Credit|87.5
FACILITY|DBL|State Bank of India|Cash Credit|120
FACILITY|DBL|The Jammu and Kashmir Bank Limited|Cash Credit|25
FACILITY|DBL|Central Bank Of India|Cash Credit|125
FACILITY|DBL|Punjab National Bank|Cash Credit|484
FACILITY|DBL|Indian Bank|Non-Fund Based|340
FACILITY|DBL|Export Import Bank of India|Non-Fund Based|200
FACILITY|DBL|State Bank of India|Non-Fund Based|335
FACILITY|DBL|The Jammu and Kashmir Bank Limited|Non-Fund Based|25
